VIN,County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
3MW5P9J05N,Arapahoe,Englewood,CO,80111,2022,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,,200589147,POINT (-104.89239 39.61914),,8005006861
5YJXCBE27J,Island,Greenbank,WA,98253,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,10,326880081,POINT (-122.575569 48.08489),,53029971302
1N4AZ0CP3F,Kings,Lemoore,CA,93245,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,,182237457,POINT (-119.78637 36.30101),,6031980000
5YJ3E1EA8J,San Diego,Oceanside,CA,92051,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,,153998050,,,6073018509
5YJ3E1EB1K,Alameda,Berkeley,CA,94710,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,,320914072,POINT (-122.300531 37.869271),,6001423200
5YJSA1E23L,El Paso,Colorado Springs,CO,80925,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,330,0,,148640635,POINT (-104.63826 38.74006),,8041004518
3FA6P0SU5E,New Haven,Madison,CT,6443,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,,148736234,,,9009194201
5YJ3E1EB3K,Kern,Ridgecrest,CA,93555,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,,312503502,POINT (-117.555001 35.712094),,6029005300
1N4BZ0CP8H,Chelan,Wenatchee,WA,98801,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,12,192768747,POINT (-120.336499 47.425146),PUD NO 1 OF CHELAN COUNTY,53007961304
1G1RC6S57H,San Diego,San Diego,CA,92123,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,,137261820,POINT (-117.15432 32.79315),,6073009201
WVWKR7AU3K,Snohomish,Edmonds,WA,98026,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,0,32,477565112,POINT (-122.333046 47.829439),PUGET SOUND ENERGY INC,53061050402
